index;mid;display_name;iso_taxonomy;Brown_Level_1;Brown_Level_2;Brown_Level_3;NoisePort_Level_1;NoisePort_Level_2;;;
0;/m/09x0r;Speech;Voice;;Voice;speech;Human;Voice;;;
1;/m/0ytgt;Child speech, kid speaking;Voice;;Voice;speech;Human;Voice;;;
2;/m/01h8n0;Conversation;Voice;;Voice;speech;Human;Voice;;;
3;/m/02qldy;Narration, monologue;Voice;;Voice;speech;Human;Voice;;;
4;/m/0261r1;Babbling;Voice;;Voice;speech;Human;Voice;;;
5;/m/0brhx;Speech synthesizer;Voice;;Voice;speech;Human;Voice;;;
6;/m/07p6fty;Shout;Voice;;Voice;speech;Human;Voice;;;
7;/m/07q4ntr;Bellow;Voice;;Voice;speech;Human;Voice;;;
8;/m/07rwj3x;Whoop;Voice;;Voice;speech;Human;Voice;;;
9;/m/07sr1lc;Yell;Voice;;Voice;speech;Human;Voice;;;
10;/t/dd00135;Children shouting;Voice;;Voice;speech;Human;Voice;;;
11;/m/03qc9zr;Screaming;Voice;;Voice;speech;Human;Voice;;;
12;/m/02rtxlg;Whispering;Voice;;Voice;speech;Human;Voice;;;
13;/m/01j3sz;Laughter;Voice;;Voice;laughter;Human;Voice;;;
14;/t/dd00001;Baby laughter;Voice;;Voice;laughter;Human;Voice;;;
15;/m/07r660_;Giggle;Voice;;Voice;laughter;Human;Voice;;;
16;/m/07s04w4;Snicker;Voice;;Voice;laughter;Human;Voice;;;
17;/m/07sq110;Belly laugh;Voice;;Voice;laughter;Human;Voice;;;
18;/m/07rgt08;Chuckle, chortle;Voice;;Voice;laughter;Human;Voice;;;
19;/m/0463cq4;Crying, sobbing;Voice;;Voice;Crying;Human;Voice;;;
20;/t/dd00002;Baby cry, infant cry;Voice;;Voice;Crying;Human;Voice;;;
21;/m/07qz6j3;Whimper;Voice;;Voice;Voice;Human;Voice;;;
22;/m/07qw_06;Wail, moan;Voice;;Voice;Voice;Human;Voice;;;
23;/m/07plz5l;Sigh;Voice;;Other human;Other human;Human;Voice;;;
24;/m/015lz1;Singing;Voice;;Voice;singing;Human;Voice;;;
25;/m/0l14jd;Choir;Voice;;Voice;singing;Human;Voice;;;
26;/m/01swy6;Yodeling;Voice;;Voice;singing;Human;Voice;;;
27;/m/02bk07;Chant;Voice;;Voice;singing;Human;Voice;;;
28;/m/01c194;Mantra;Voice;;Voice;singing;Human;Voice;;;
29;/t/dd00005;Child singing;Voice;;Voice;singing;Human;Voice;;;
30;/t/dd00006;Synthetic singing;Voice;;Voice;singing;Human;Voice;;;
31;/m/06bxc;Rapping;Voice;;Voice;singing;Human;Voice;;;
32;/m/02fxyj;Humming;Voice;;Voice;singing;Human;Voice;;;
33;/m/07s2xch;Groan;Other human;;Other human;Other human;Human;Voice;;;
34;/m/07r4k75;Grunt;Other human;;Other human;Other human;Human;Voice;;;
35;/m/01w250;Whistling;Other human;;Other human;Other human;Human;Voice;;;
36;/m/0lyf6;Breathing;Other human;;Other human;Other human;Human;Voice;;;
37;/m/07mzm6;Wheeze;Other human;;Other human;Other human;Human;Voice;;;
38;/m/01d3sd;Snoring;Other human;;Other human;Other human;Human;Voice;;;
39;/m/07s0dtb;Gasp;Other human;;Other human;Other human;Human;Voice;;;
40;/m/07pyy8b;Pant;Other human;;Other human;Other human;Human;Voice;;;
41;/m/07q0yl5;Snort;Other human;;Other human;Other human;Human;Voice;;;
42;/m/01b_21;Cough;Other human;;Other human;Other human;Human;Voice;;;
43;/m/0dl9sf8;Throat clearing;Other human;;Other human;Other human;Human;Voice;;;
44;/m/01hsr_;Sneeze;Other human;;Other human;Other human;Human;Voice;;;
45;/m/07ppn3j;Sniff;Other human;;Other human;Other human;Human;Voice;;;
46;/m/06h7j;Run;Human movement;;Human movement;footsteps;Human;Voice;;;
47;/m/07qv_x_;Shuffle;Human movement;;Human movement;footsteps;Human;Voice;;;
48;/m/07pbtc8;Walk, footsteps;Human movement;;Human movement;footsteps;Human;Voice;;;
49;/m/03cczk;Chewing, mastication;Other human;;Other human;Other human;Human;Voice;;;
50;/m/07pdhp0;Biting;Other human;;Other human;Other human;Human;Voice;;;
51;/m/0939n_;Gargling;Other human;;Other human;Other human;Human;Voice;;;
52;/m/01g90h;Stomach rumble;Other human;;Other human;Other human;Human;Voice;;;
53;/m/03q5_w;Burping, eructation;Other human;;Other human;Other human;Human;Voice;;;
54;/m/02p3nc;Hiccup;Other human;;Other human;Other human;Human;Voice;;;
55;/m/02_nn;Fart;Other human;;Other human;Other human;Human;Voice;;;
56;/m/0k65p;Hands;Other human;;Other human;Other human;Human;Voice;;;
57;/m/025_jnm;Finger snapping;Other human;;Other human;Other human;Human;Voice;;;
58;/m/0l15bq;Clapping;Other human;;Other human;Other human;Human;Voice;;;
59;/m/01jg02;Heart sounds, heartbeat;Other human;;Other human;Other human;Human;Voice;;;
60;/m/01jg1z;Heart murmur;Other human;;Other human;Other human;Human;Voice;;;
61;/m/053hz1;Cheering;Other human;;Other human;Other human;Human;Voice;;;
62;/m/028ght;Applause;Other human;;Other human;Other human;Human;Voice;;;
63;/m/07rkbfh;Chatter;Voice;;Voice;speech;Human;Voice;;;
64;/m/03qtwd;Crowd;Voice;;Voice;speech;Human;Voice;;;
65;/m/07qfr4h;Hubbub, speech noise, speech babble;Voice;;Voice;speech;Human;Voice;;;
66;/t/dd00013;Children playing;Voice;;Voice;speech;Human;Voice;;;
67;/m/0jbk;Animal;Nature;;Animal;Animal;Animal;Animal;;;
68;/m/068hy;Domestic animals, pets;Domesticated Animal;;Animal;Domestic Animal;Animal;Animal;;;
69;/m/0bt9lr;Dog;Domesticated Animal;;Animal;Domestic Animal;Animal;Animal;;;
70;/m/05tny_;Bark;Domesticated Animal;;Animal;Domestic Animal;Animal;Animal;;;
71;/m/07r_k2n;Yip;Domesticated Animal;;Animal;Domestic Animal;Animal;Animal;;;
72;/m/07qf0zm;Howl;Domesticated Animal;;Animal;Domestic Animal;Animal;Animal;;;
73;/m/07rc7d9;Bow-wow;Domesticated Animal;;Animal;Domestic Animal;Animal;Animal;;;
74;/m/0ghcn6;Growling;Domesticated Animal;;Animal;Domestic Animal;Animal;Animal;;;
75;/t/dd00136;Whimper (dog);Domesticated Animal;;Animal;Domestic Animal;Animal;Animal;;;
76;/m/01yrx;Cat;Domesticated Animal;;Animal;Domestic Animal;Animal;Animal;;;
77;/m/02yds9;Purr;Domesticated Animal;;Animal;Domestic Animal;Animal;Animal;;;
78;/m/07qrkrw;Meow;Domesticated Animal;;Animal;Domestic Animal;Animal;Animal;;;
79;/m/07rjwbb;Hiss;Industry;;Electro-mechanical;Steam;Sound Event;Air Brake Release;;;
80;/m/07r81j2;Caterwaul;Domesticated Animal;;Animal;Domestic Animal;Animal;Animal;;;
81;/m/0ch8v;Livestock, farm animals, working animals;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
82;/m/03k3r;Horse;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
83;/m/07rv9rh;Clip-clop;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
84;/m/07q5rw0;Neigh, whinny;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
85;/m/01xq0k1;Cattle, bovinae;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
86;/m/07rpkh9;Moo;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
87;/m/0239kh;Cowbell;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
88;/m/068zj;Pig;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
89;/t/dd00018;Oink;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
90;/m/03fwl;Goat;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
91;/m/07q0h5t;Bleat;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
92;/m/07bgp;Sheep;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
93;/m/025rv6n;Fowl;Domesticated Animal;;Animal;Farm Animal;Animal;Animal;;;
